hosp	unit	tech	teach	beds	unitsur	we			expe	full	pa
3	12	1	1	1472	1	2.66488095238095	22	0	7
3	13	1	1	1472	0	2.60674603174603	33	1	2
3	13	1	1	1472	0	2.60674603174603	29	0	5
3	13	1	1	1472	0	2.60674603174603	22	0	4
3	13	1	1	1472	0	2.60674603174603	2	0	6
3	13	1	1	1472	0	2.60674603174603	12	1	10
3	13	1	1	1472	0	2.60674603174603	1	1	6
3	13	1	1	1472	0	2.60674603174603	25	0	5
3	13	1	1	1472	0	2.60674603174603	25	1	3
3	13	1	1	1472	0	2.60674603174603	29	0	8
3	13	1	1	1472	0	2.60674603174603	13	0	1
3	13	1	1	1472	0	2.60674603174603	23	0	7
3	13	1	1	1472	0	2.60674603174603	28	0	19
3	13	1	1	1472	0	2.60674603174603	14	0	9
3	14	1	1	1472	1	2.2167328042328		1	1	14
3	14	1	1	1472	1	2.2167328042328		11	1	2
3	14	1	1	1472	1	2.2167328042328		18	0	19
3	14	1	1	1472	1	2.2167328042328		3	0	12
3	14	1	1	1472	1	2.2167328042328		2	1	19
3	14	1	1	1472	1	2.2167328042328		33	0	1
3	15	1	1	1472	0	2.31100288600289	1	1	13
3	15	1	1	1472	0	2.31100288600289	1	1	8
3	15	1	1	1472	0	2.31100288600289	26	0	14
3	15	1	1	1472	0	2.31100288600289	41	0	3
3	15	1	1	1472	0	2.31100288600289	18	1	12
3	15	1	1	1472	0	2.31100288600289	27	0	13
3	15	1	1	1472	0	2.31100288600289	27	0	11
3	15	1	1	1472	0	2.31100288600289	19	0	12
3	15	1	1	1472	0	2.31100288600289	2	1	8
3	15	1	1	1472	0	2.31100288600289	23	0	14
3	15	1	1	1472	0	2.31100288600289	22	0	4
3	16	1	1	1472	1	2.42252747252747	27	0	25
3	16	1	1	1472	1	2.42252747252747	10	1	17
3	16	1	1	1472	1	2.42252747252747	6	1	17
3	16	1	1	1472	1	2.42252747252747	7	1	12
3	16	1	1	1472	1	2.42252747252747	35	1	13
3	16	1	1	1472	1	2.42252747252747	18	0	16
3	16	1	1	1472	1	2.42252747252747	1	1	3
3	16	1	1	1472	1	2.42252747252747	12	1	3
3	16	1	1	1472	1	2.42252747252747	9	0	6
3	16	1	1	1472	1	2.42252747252747	34	0	8
3	16	1	1	1472	1	2.42252747252747	33	0	12
3	16	1	1	1472	1	2.42252747252747	16	0	15
3	16	1	1	1472	1	2.42252747252747	2	1	9
4	17	0	0	481	1	2.29560185185185	1	1	18
4	17	0	0	481	1	2.29560185185185	4	1	7
4	17	0	0	481	1	2.29560185185185	10	0	0
4	17	0	0	481	1	2.29560185185185	15	0	18
4	17	0	0	481	1	2.29560185185185	17	0	12
4	17	0	0	481	1	2.29560185185185	33	0	0
4	17	0	0	481	1	2.29560185185185	2	1	15
4	17	0	0	481	1	2.29560185185185	28	0	10
4	17	0	0	481	1	2.29560185185185	0.7	1	13
4	17	0	0	481	1	2.29560185185185	8	0	11
4	17	0	0	481	1	2.29560185185185	10	0	4
4	17	0	0	481	1	2.29560185185185	21	0	16
4	18	0	0	481	1	2.44297052154195	3	1	6
4	18	0	0	481	1	2.44297052154195	22	0	19
4	18	0	0	481	1	2.44297052154195	22	0	12
4	18	0	0	481	1	2.44297052154195	22	1	10
4	18	0	0	481	1	2.44297052154195	15	0	18
